input size,bubble,selection,csort,insertion,qsort_beginner
100,0.000043,0.000019,0.000009,0.000024,0.000007
1000,0.003762,0.001382,0.000106,0.002141,0.000089
10000,0.495238,0.138656,0.001237,0.156564,0.001165
100000,52.432983,12.578991,0.016683,15.585318,0.013843
1000000,5716.079352,1361.622073,0.188499,1597.914240,0.170065
