input size,bubble,selection,csort
100,0.0074,0.000012,0.00001
1000,0.003459,0.001549,0.000158
10000,0.269726,0.08527,0.001779
100000,29.487374,6.247408,0.016434
1000000,3478.480682,637.709106,0.109614
