input size,bubble,selection,csort
100,0.000080,0.00003,0.000003
1000,0.005703,0.001626,0.00005
10000,0.188394,0.080529,0.000611
100000,22.812258,4.999127,0.007111
1000000,2562.810782,521.284494,0.086655
