input size,bubble,selection,csort,insertion,qsort_beginner
100,0.00005,0.000009,0.000004,0.000018,0.000007
1000,0.004713,0.000591,0.000047,0.001732,0.000102
10000,0.17476,0.055368,0.000596,0.151255,0.001100
100000,21.821102,5.578564,0.007514,15.570113,0.013671
1000000,4789.9111,536.860961,0.087693,1534.672458,0.164356
10000000,,,,,1.891282


