input size,bubble,selection,csort,insertion,qsort_beginner
100,0.000046,0.000017,0.000009,0.000016,0.000008
1000,0.003429,0.001206,0.000095,0.001361,0.000092
10000,0.442533,0.111096,0.001132,0.144597,0.001161
100000,48.930567,11.497123,0.013383,13.805598,0.164434
