input size,bubble,selection,csort,insertion,qsort_beginner
100,0.000075,0.000029,0.000011,0.000018,0.000006
1000,0.005320,0.001723,0.000107,0.001474,0.000114
10000,0.247408,0.088758,0.001608,0.146637,0.001114
100000,27.572132,5.981021,0.017924,14.834982,0.015060
1000000,2944.239035,603.163520,0.110957,1501.279466,0.165119
10000000,,,,,1.910703
