input size,bubble,selection,csort,insertion,Quicksort
100, 0.000044, 0.000019, 0.000010, 0.000021, 0.000007
1000, 0.003940, 0.002682, 0.000135, 0.001482, 0.000090
10000, 0.470137, 0.130141, 0.001597, 0.157059, 0.001262
100000, 50.198670, 12.669538, 0.018899, 15.713941, 0.017840
1000000, 5197.072199, 1316.981943, 0.223270, 1611.793086, 0.171304
10000000,			,			,			,			, 1.948155
