input size,bubble,selection,csort,insertion,qsort_beginner
100,0.000048,0.000029,0.000012,0.000009,0.000007
1000,0.004226,0.001619,0.000155,0.000726,0.000089
10000,0.514507,0.126602,0.00136,0.067915,0.001172
100000,54.271854,13.288109,0.028735,6.605748,0.01343
1000000,5291.302748,1294.95511,0.183973,673.585776,0.164116
10000000,,,,,1.929553
