input size,bubble,selection,csort
100,0.000055,0.000031,0.000010
1000,0.003823,0.003481,0.000110
10000,0.502259,0.127679,0.001285
100000,54.161986,14.307989,0.0157181
1000000,5671.045853,1362.413704,0.186498
