input size,bubble,selection,csort,insertion,qsort_beginner
100,0.000043,0.000016,0.000013,0.000016,0.000007
1000,0.003830,0.000996,0.000103,0.001571,0.000091
10000,0.491947,0.109852,0.001223,0.142816,0.001278
100000,59.402023,11.828317,0.015577,14.648174,0.014865
1000000,5986.104207,1209.927620,0.200134,1667.868896,0.171990
10000000,,,,,1.982816
