input size,bubble,selection,csort,insertion,qsort_beginner
100,0.000076,0.000018,0.000010,0.000015,0.000008
1000,0.004117,0.001436,0.000125,0.001512,0.000107
10000,0.484333,0.135997,0.001161,0.140721,0.001346
100000,55.541462,13.220583,0.013993,14.050146,0.015409
1000000,5941.060321,1337.429228,0.175067,1426.163481,0.229658
10000000,,,,,2.554335
