input size,bubble,selection,csort,insertion,qsort_beginner
100,0.000045,0.000021,0.000009,0.00040,0.000044
1000,0.003877,0.001446,0.000137,0.002275,0.000239
10000,0.486634,0.134537,0.001528,0.208022,0.003998
100000,51.887538,13.541165,0.014775,20.591922,0.070738
1000000,5098.079887,1359.75417,0.168899,2050.891259,0.432741
10000000,,,,,6.079642
