input size,bubble,selection,csort,insertion,qsort_beginner
100,0.000055,0.000069,0.00001,0.000026,0.000007
1000,0.004053,0.001261,0.000101,0.002675,0.000112
10000,0.494548,0.104936,0.001207,0.110624,0.001084
100000,52.828874,11.311392,0.0155,7.452053,0.013849
1000000,5848.521019,1172.101712,0.349573,765.578124,0.162137
10000000,,,,,1.905196
