input size,bubble,selection,csort,insertion,qsort_beginner
100,0.000072,0.000026,0.000010,0.000031,0.000011
1000,0.005325,0.002013,0.000140,0.002333,0.000129
10000,0.400585,0.087968,0.001110,0.081904,0.001652
100000,48.133290,5.920550,0.017504,8.330134,0.020572
1000000,4938.955187,593.994645,0.108391,1016.708923,0.179298
10000000,,,,,2.109174
