input size,bubble,selection,csort,insertion,quickSort
100,0.000049,0.000018,0.000009,0.000020,0.000000
1000,0.003806,0.001288,0.00101,0.002741,0.000000
10000,0.502284,0.118242,0.001195,0.162981,0.000000
100000,53.271852,11.802716,0.014897,16.064538,0.000000
1000000,5126.458152,1240.804614,0.168225,1546.143651,0.000001
10000000,,,1.932878,,0.000001
