input size,bubble,selection,csort,insertion,qsort_beginner
100,0.000044,0.000021,0.0000009,0.000015,0.000006
1000,0.0003873,0.0022748,0.000106,0.002149,0.000091
10000,0.514272,0.128521,0.00136,0.138832,0.001150
100000,55.54438,12.44087,0.015887,14.098616,0.013606
1000000,6247.441,1338.176,0.181261,1418.727441,0.167864
10000000,,,,,2.014116
