input size,bubble,selection,csort
100,0.000045,0.000030,0.000013
1000,0.003862,0.001329,0.000135
10000,0.833206,0.128478,0.001238
100000,61.217717,13.043691,0.020545
1000000,6387.450989,1076.374562,0.252909
