input size,bubble,selection,csort,insertion,qsort_beginner
100,0.000017,0.000035,0.000007,0.000009,0.000008
1000,0.001436,0.00239,0.000065,0.000813,0.000096
10000,0.141815,0.265049,0.0008,0.078864,0.001267
100000,14.992721,28.457583,0.009384,8.842596,0.015242
1000000,2250.345994,2890.490877,0.097607,871.077007,0.192922
