input size,bubble,selection,csort,insertion,qsort_beginner
100,0.000129,0.000016,0.000076,0.000019,0.000007
1000,0.004540,0.001153,0.000129,0.001644,0.000081
10000,0.502419,0.116463,0.001721,0.156171,0.001206
100000,60.142782,12.496805,0.017182,15.418146,0.014500
1000000,5194.203046,1226.156146,0.183616,1548.634854,0.173142
10000000,,,,,2.046542
