input size,bubble,selection,csort,insertion,qsort_beginner
100,0.000099,0.000043,0.000007,0.000015,0.000007
1000,0.006004,0.002076,0.000084,0.00125,0.00119
10000,0.420825,0.092804,0.001084,0.128098,0.001082
100000,47.668284,6.351766,0.013576,15.843428,0.13387
1000000,2823.234523,638.867987,0.160336,2601.962338,0.162325
10000000,,,,,1.898609
100000000,,,,,22.147465
