input size,bubble,selection,csort
100,0.000018,0.000017,0.000004
1000,0.001122,0.000427,0.000109
10000,0.134828,0.031302,0.001092
100000,18.734375,3.02742,0.006398
1000000,1943.303377,318.750103,0.076274
