input size,bubble,selection,csort
100,0.000051,0.000015,0.000012
1000,0.003797,0.001132,0.000095
10000,0.480627,0.102759,0.001199
100000,50.434449,10.587788,0.014085
1000000,5640.007120,1211.868125,0.169824
