input size,bubble,selection,csort
100,0.000048,0.000029,0.000083
1000,0.004652,0.001440,0.001476
10000,0.514254,0.143899,0.153102
100000,57.245590,13.724249,13.671160
1000000,5000,1430.171526,1385.750198
